X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
31,268	42,983	-9,7034	6,975e-002
31,268	42,983	-4,8517	9,444e-002
31,268	42,983	-3,4694e-015	1,9082e-002
31,268	42,983	4,8517	-0,1441
31,268	42,983	9,7034	-0,1649
31,268	42,983	14,555	-5,051e-002
31,268	42,983	19,407	0,2408
31,268	42,983	24,258	0,46717
36,801	52,567	27,703	0,29461
33,112	46,178	28,641	0,62561
34,957	49,373	28,172	0,47159
46,138	68,74	19,348	-1,0129
38,843	56,104	26,948	0,1259
40,828	59,542	25,731	-0,17603
42,728	62,832	24,054	-0,26679
44,51	65,919	21,922	-0,54352
37,351	52,448	-29,054	-0,26453
37,351	52,448	29,054	0,25172
53,	47,5	-27,	-6,5946e-002
53,	50,47	-26,836	0,45154
53,	53,404	-26,347	0,2215
53,	56,267	-25,537	-0,31287
53,	59,023	-24,418	0,77062
53,	61,639	-23,002	-1,3754
53,	64,084	-21,307	-3,4198e-002
53,	66,327	-19,353	-0,42167
53,	68,342	-17,165	-0,33402
53,	70,103	-14,768	-0,24185
53,	71,591	-12,191	-0,18763
53,	72,786	-9,4672	-0,11326
53,	73,674	-6,6281	-5,764e-002
53,	74,244	-3,7085	-2,5424e-002
53,	74,49	-0,74397	-1,3034e-002
53,	74,408	2,2296	9,9239e-003
53,	73,999	5,1762	6,993e-002
53,	73,269	8,0599	5,183e-002
53,	72,226	10,846	0,10094
53,	70,883	13,5	0,16419
53,	69,256	15,99	0,20711
53,	67,365	18,287	0,27105
53,	65,232	20,361	0,34078
53,	62,885	22,188	0,38299
53,	60,351	23,746	0,24273
53,	57,66	25,015	1,3155
53,	54,847	25,981	-0,54637
53,	51,944	26,632	1,0531
53,	48,987	26,959	-0,5757
53,	46,013	26,959	-0,86213
53,	43,056	26,632	0,56003
53,	40,153	25,981	-0,25036
53,	37,34	25,015	0,24485
53,	34,649	23,746	1,9828
53,	32,115	22,188	1,0511
53,	29,768	20,361	2,5304
53,	27,635	18,287	3,1642
53,	25,744	15,99	2,8358
53,	24,117	13,5	2,0392
53,	22,774	10,846	1,8217
53,	21,731	8,0599	1,6518
53,	21,001	5,1762	1,3633
53,	20,592	2,2296	0,12404
53,	20,51	-0,74397	-0,16524
53,	20,756	-3,7085	-1,5351
53,	21,326	-6,6281	-1,5797
53,	22,214	-9,4672	-1,4207
