X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
38,5	5,3602	-36,509	2,2672
41,227	3,7343	-36,711	3,2523
42,25	8,2985	-36,077	4,2469
41,909	4,5542	-33,98	4,6248
39,066	7,0469	-34,114	2,8132
39,257	4,3513	-34,872	3,0998
34,75	5,3602	-36,509	0,73692
35,569	2,629	-36,806	1,3052
38,727	3,7343	-36,711	2,2009
35,844	9,8805	-35,845	0,62646
39,75	8,2985	-36,077	3,1955
34,602	3,8549	-35,816	1,0085
34,529	5,8974	-34,733	0,85727
36,566	7,0469	-34,114	1,7619
36,757	4,3513	-34,872	2,0484
34,413	6,8642	-35,491	0,40104
38,5	-17,039	-32,731	20,51
34,75	-17,039	-32,731	19,854
35,361	-13,775	-34,232	10,267
38,03	-14,944	-33,739	12,184
36,818	-18,279	-35,113	9,1818
34,374	-14,113	-32,423	12,154
39,886	-15,588	-30,386	15,024
34,445	-17,505	-31,064	13,848
35,498	-19,602	-32,204	14,698
36,368	-13,204	-31,971	13,181
34,484	-15,823	-31,422	13,924
36,927	-18,044	-30,395	14,161
43,5	-17,039	-32,731	24,901
40,53	-14,944	-33,739	13,502
39,318	-18,279	-35,113	10,5
42,875	-18,274	-35,105	11,193
43,596	-19,176	-32,025	17,156
42,386	-15,588	-30,386	16,342
37,998	-19,602	-32,204	16,017
39,427	-18,044	-30,395	15,479
40,467	-20,657	-33,629	14,585
46,055	-13,149	-34,478	16,119
43,03	-14,944	-33,739	16,575
45,375	-18,274	-35,105	14,266
46,096	-19,176	-32,025	20,229
44,886	-15,588	-30,386	19,415
37,592	50,227	-29,921	-1,1049e-002
40,611	51,858	-29,682	1,1589
39,58	53,8	-29,331	0,45931
37,667	52,213	-28,692	-0,2546
38,688	53,981	-28,315	9,5259e-002
36,745	50,615	-28,927	-0,65242
37,898	52,197	-29,492	-0,11181
38,967	54,09	-29,142	0,19961
41,179	49,299	-30,058	2,2173
38,015	48,833	-27,867	0,25806
40,735	52,006	-27,919	1,021
33,825	43,703	-30,879	-1,4595
31,759	42,763	-30,476	-1,6967
37,413	41,031	-31,271	1,1003
34,275	39,181	-31,543	-1,1345
33,331	41,426	-29,534	-1,7255
35,708	46,965	-30,4	-0,68001
32,701	44,394	-30,237	-1,2649
33,623	45,992	-30,002	-1,5766
39,296	46,037	-30,536	1,5484
38,354	42,662	-31,032	1,5321
36,132	45,57	-28,346	-0,4109
34,046	44,352	-28,646	-1,3607
34,273	43,057	-29,295	-1,2937
35,487	49,22	-29,528	-0,97372
34,565	47,623	-29,763	-1,229
36,956	50,566	-29,731	-0,43311
40,238	47,668	-30,297	1,896
37,073	47,201	-28,107	-6,3243e-002
44,767	51,858	-29,682	2,6226
48,922	50,695	-29,852	4,1164
47,883	51,858	-29,682	3,4017
46,569	54,632	-29,14	2,4209
45,335	49,299	-30,058	3,681
48,017	51,137	-28,329	3,1887
47,328	50,229	-27,76	3,2991
44,89	52,006	-27,919	2,4847
48,076	52,891	-28,622	2,8654
48,04	50,417	-29,161	3,7834
41,652	53,803	-29,33	1,3079
44,491	54,632	-29,14	1,8059
43,257	49,299	-30,058	3,066
42,812	52,006	-27,919	1,8697
47,204	67,949	-21,951	0,53648
48,	70,901	-18,772	0,37359
46,878	69,32	-20,083	0,63784
49,5	69,818	-20,048	0,34874
46,495	68,645	-20,782	0,5418
46,839	68,375	-21,425	0,5063
48,724	68,658	-20,374	0,45632
48,719	67,756	-21,273	0,51665
48,374	69,323	-19,476	0,43578
48,002	68,259	-19,349	0,52303
47,705	67,808	-20,752	0,53863
41,634	57,612	-28,244	0,67707
40,721	57,631	-27,291	0,45885
39,729	55,912	-27,9	0,24432
41,033	57,843	-28,041	0,52642
40,01	55,986	-28,653	0,34867
43,454	56,535	-28,607	1,1063
41,775	53,937	-27,504	1,1701
42,246	57,113	-26,884	0,77207
43,612	61,283	-26,646	0,74034
42,681	61,151	-25,781	0,62028
41,731	59,506	-26,62	0,52755
43,02	61,451	-26,442	0,63998
42,04	59,671	-27,302	0,59512
