X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
108,05	26,474	21,174	-2,8969
106,48	24,586	20,792	-5,0214
105,06	23,48	23,023	-5,6962
104,06	24,969	22,601	-5,8041
106,	28,03	19,067	-4,6463
105,26	27,561	19,984	-12,692
105,26	26,699	21,12	-10,233
108,05	27,384	19,983	-1,8636
106,48	25,536	19,632	-3,988
104,67	27,041	20,026	-7,5606
106,	29,605	16,515	-5,0463
105,25	29,177	17,542	-14,547
105,26	28,418	18,745	-13,56
108,05	28,241	18,752	-2,7312
106,48	26,379	18,392	-4,8557
107,33	27,654	15,65	-4,3219
105,22	28,399	16,804	-7,8636
104,67	27,884	18,786	-8,4282
106,	30,949	13,834	-4,1544
105,26	30,613	14,885	-14,814
105,25	29,924	16,234	-14,08
108,05	29,043	17,484	-2,2635
108,01	31,018	13,677	-1,8755
105,23	30,164	13,396	-8,3406
107,33	28,385	14,34	-3,8541
105,22	29,13	15,495	-7,3959
106,	32,05	11,045	-4,3901
105,24	31,78	12,225	-16,472
105,26	31,242	13,517	-14,39
108,01	31,593	12,292	-1,4513
105,23	30,776	12,027	-7,9164
107,33	28,997	12,971	-3,43
106,57	30,25	10,534	-4,8599
106,	32,901	8,1688	-4,013
105,24	32,96	8,5446	-17,709
105,13	32,686	9,7201	-20,164
105,24	32,29	10,807	-17,132
108,01	32,106	10,883	-2,1112
105,23	31,265	10,609	-8,5763
104,2	32,306	10,089	-7,1531
106,57	30,738	9,1165	-5,5198
105,21	32,357	8,8817	-11,567
106,56	31,944	8,1732	-4,2683
106,	33,494	5,229	-3,5528
105,25	33,581	5,6056	-17,297
105,24	33,306	7,0783	-16,672
108,01	32,556	9,4518	-1,0742
107,98	33,5	5,194	-0,79919
104,91	32,189	6,5757	-7,8507
105,21	32,718	7,4264	-10,53
106,56	32,305	6,7179	-3,2313
106,	33,825	2,2483	-4,5161
105,25	33,938	2,6959	-18,23
105,25	33,796	4,1147	-17,874
